201901&&&창문 넘어 도망친 100세 노인&&&요나스 요나손&&&열린책들&&&전 세계 500만 부 이상 판매된 특급 베스트셀러	100년간 전 세계를 누비며 역사의 현장 한복판에 본의 아니게(?)	끼어든 요절복통 영감님, 101년째 모험을 떠나다!		2010년 스웨덴 베스트셀러상 	2012년 독일『부흐마크트』선정 최고의 작가 1위	2012년 영국 아마존 선정 최고의 책 10선	2011년 독일 M-피오니어상	2011년 덴마크 오디오북상	2012년 프랑스 에스카파드상
201902&&&연금술사&&&파울로 코엘료&&&문학동네&&&전세계 8천 5백만 독자가 읽은 전설적인 베스트셀러		현재까지 전세계 81개 언어로 번역되어 8천 5백만 독자의 	사랑을 받았고, 2009년 ‘한 권의 책이 가장 많은 언어로 	번역된 작가’로 기네스북에 기록된 파울로 코엘료의 대표작. 	삶에 대한 깊은 통찰을 한 편의 아름다운 이야기로 조형해낸 	『연금술사』는 마음의 목소리에 귀기울이는 것이 얼마나 	중요한지 증언하는 고귀한 성서이다.
201903&&&나의 라임 오렌지나무&&&J.M.바스콘셀로스&&&동녘&&&너무나 일찍 슬픔을 발견한 다섯 살 꼬마 제제의 	아름답고도 가슴 저미는 이야기.	감수성이 예민한 다섯 살 소년 '제제'를 통해 사랑의 문제, 	인간 비극의 원초적인 조건, 인간과 사물 또는 자연의 교감, 	어른과 아이의 우정 등을 잔잔한 어조로 이야기하고 있다. 
201904&&&채식주의자&&&한강&&&창비&&&어린시절 자신의 다리를 문 개를 죽이는 장면이 뇌리에 박힌 	영혜는 어느날 꿈에 나타난 끔찍한 영상에 사로잡혀 	육식을 멀리하기 시작한다. 영혜의 행동을 이해할 수 없는 ‘나’는 	처가 사람들을 동원해 영혜를 말리고자 한다. 	영혜의 언니 인혜의 집들이에서 영혜는 또 육식을 거부하고, 	이에 못마땅한 장인이 강제로 영혜의 입에 고기를 넣으려 하자, 	영혜는 그 자리에서 손목을 긋는다. 
201906&&&참을 수 없는 존재의 가벼움&&&밀란 쿤데라&&&민음사&&&토마시와의 만남을 운명이라고 생각하는 테레자는 고향을 떠나 	그의 집에 머문다. 진지한 사랑을 부담스러워하던 토마시는 	끊임없이 다른 여자들을 만나고, 	질투와 미움이 뒤섞인 두 사람의 삶은 점차 그 무게를 더해 간다. 	한편 토마시의 연인 사비나는 끈질기게 자신을 따라다니는 조국과 	역사의 그림자에서 벗어나 자유롭게 살고 싶어 하며, 	안정된 일상을 누리던 프란츠는 사비나의 ‘가벼움’에 매료된다. 
201905&&&돌이킬 수 없는 약속&&&야쿠마루 &&&북미디어&&&자신이 일하던 가게의 손님이었던 오치아이의 제안으로 	바를 겸하는 레스토랑의 공동경영자가 된 무카이.	그는 지금 과거의 삶을 버리고, 	믿을 수 있는 파트너와 자신의 성(城)을 새롭게 구축하였다. 	사랑하는 가족과 함께 소박하지만 평온한 삶을 누리고 있다. 	그러던 어느 날, 버려버린 과거에서 도착한 한 통의 편지가 	예전에 봉인한 기억을 되살린다. 	'그들은 지금 교도소에서 나왔습니다.' 	편지지에는 그 한 줄만 적혀 있었다. 	한 번 죄를 저지른 사람은 새 삶을 꿈꿀 수 없는 것일까? 
201907&&&저자&&&123&&&111&&&112323
